cardcode;calldate;Result;ShortComment;LongComment;Found;Interest
C.01641;2/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ;1;
C.01934;2/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ;1;
C.01844;2/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ;1;
C.01649;2/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ;1;
C.00989;2/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ;1;
C.01818;2/10/2020;Παραγγελία;;;1;
C.01943;5/10/2020;Παραγγελία;;;1;
C.00265;5/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΤΕΙ ΚΑΤΙ.;1;
C.01744;5/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ.;1;
C.01207;5/10/2020;Αλλο;;ΔΕΝ ΕΙΝΑΙ ΣΩΣΤΟΣ Ο ΑΡΙΘΜΟΣ. ΘΑ ΠΕΡΑΣΕΙ Ο ΠΩΛΗΤΗΣ ΓΙΑ ΝΑ ΔΕΙ.;0;
C.01918;5/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ.;1;
C.01202;5/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ.;1;
C.00515;5/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ.;1;
C.01986;5/10/2020;Ενημέρωση;;ΕΧΟΥΝ ΚΑΝΟΝΙΣΕΙ ΜΕ ΤΟΝ ΠΩΛΗΤΗ ΝΑ ΠΕΡΑΣΕΙ ΑΥΡΙΟ ΑΠΟ ΕΚΕΙ.;1;
C.02494;5/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ. ΝΑ ΞΑΝΑ ΚΑΛΕΣΩ ΟΜΩΣ ΤΗΝ ΕΠΟΜΕΝΗ ΕΒΔΟΜΑΔΑ ΠΟΥ ΘΑ ΧΡΕΙΑΣΤΕΙ .;1;
C.02205;5/10/2020;Παραγγελία;;;1;
A.06949;5/10/2020;Παραγγελία;;;1;
C.01910;5/10/2020;Ενημέρωση;;ΑΝ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ ΘΑ ΚΑΛΕΣΕΙ Ο ΙΔΙΟΣ ΕΝΤΟΣ ΤΗς ΗΜΕΡΑΣ.;1;
A.03070;6/10/2020;Παραγγελία;;OK ΠΑΡΑΓΓΕΛΙΑ;1;
A.00468;6/10/2020;Παραγγελία;;ΟΚ ΠΑΡΑΓΓΕΛΙΑ;1;
A.07214;6/10/2020;Παραγγελία;;ΟΚ ΠΑΡΑΓΓΕΛΙΑ;1;
A.05463;6/10/2020;Ενημέρωση;;;1;
A.06065;6/10/2020;Ενημέρωση;;;1;
A.05744;6/10/2020;Ενημέρωση;;;1;
A.03868;6/10/2020;Ενημέρωση;;;1;
A.03886;6/10/2020;Ενημέρωση;;;1;
A.03486;6/10/2020;Ενημέρωση;;;1;
A.01444;6/10/2020;Ενημέρωση;;;1;
A.03824;6/10/2020;Ενημέρωση;;;1;
C.01202;7/10/2020;Παραγγελία;;;1;
A.01314;7/10/2020;Παραγγελία;;οκ παραγγελια;1;
A.01739;7/10/2020;Παραγγελία;;οκ παραγγελια;1;
C.01925;7/10/2020;Ενημέρωση;;ΔΕΝ ΜΠΟΡΕΣΑ ΝΑ ΒΓΑΛΩ ΑΚΡΗ . ΜΙΛΗΣΑ ΜΕ ΤΟΝ Κ. ΑΣΤΕΡΙΟΥ, ΠΡΟΜΗΘΕΥΤΗΣ ΤΟΥΣ. ΜΟΥ ΕΙΠΕ ΟΤΙ ΔΕΝ ΠΡΟΚΕΙΤΕ ΝΑ ΒΡΩ ΑΚΡΗ.;0;
C.00013;7/10/2020;Ενημέρωση;;ΑΓΕΝΕΣΤΑΤΗ. ΔΕΝ ΗΘΕΛΕ ΝΑ ΜΟΥ ΜΙΛΗΣΕΙ. ΤΟ ΜΟΝΟ ΠΟΥ ΜΟΥ ΕΙΠΕ ΕΙΝΑΙ ΟΤΙ ΔΕΝ ΕΧΕΙ ΠΛΕΟΝ Η ΙΔΙΑ ΤΟ ΦΟΥΡΝΟ.;0;
C.00398;7/10/2020;Ενημέρωση;;ΜΙΛΗΣΑ ΜΕ ΤΗΝ ΥΠΑΛΛΗΛΟ.ΕΛΛΕΙΠΕ Ο ΥΠΕΥΘΥΝΟΣ ,ΤΟΝ ΟΠΟΙΟ ΜΠΟΡΩ ΝΑ ΒΡΩ ΜΟΝΟ ΜΕΧΡΙ ΤΙς 7.30 ΤΟ ΠΡΩΙ.ΘΑ ΕΝΗΜΕΡΩΣΕΙ Η ΚΟΠΕΛΑ ΟΤΙ ΠΗΡΑ, ΚΑΙ Ή ΘΑ ΜΕ ΚΑΛΕΣΟΥΝΕ Ή ΘΑ ΞΑΝΑΠΑΡΩ ΕΓΩ.;0;
C.01572;7/10/2020;Ενημέρωση;;ΘΑ ΜΙΛΗΣΕΙ Ο ΠΩΛΗΤΗΣ ΜΑΖΙ ΤΟΥ ΓΙΑ ΡΑΝΤΕΒΟΥ.;0;
C.01746;7/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΣΕΡΒΙΡΟΥΝ ΤΙΠΟΤΑ ΑΚΟΜΗ . ΕΑΝ ΤΥΧΟΝ ΑΛΛΑΞΕΙ ΚΑΤΙ ,ΘΑ ΜΑΣ ΠΑΡΟΥΝ ΤΗΛΕΦΩΝΟ ΟΙ ΙΔΙΟΙ.;1;
C.01306;7/10/2020;Ενημέρωση;;ΔΕΝ ΑΠΑΝΤΗΣΕ.  ;0;
C.02044;7/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ.;1;
C.00528;7/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ.;1;
C.01756;7/10/2020;Ενημέρωση;;ΔΕΝ ΒΡΗΚΑ ΤΗΝ ΥΠΕΥΘΥΝΗ.;0;
A.01690;8/10/2020;Παραγγελία;;;1;
A.01092;8/10/2020;Ενημέρωση;;;1;
A.04521;8/10/2020;Ενημέρωση;;;1;
A.01114;8/10/2020;Ενημέρωση;;;1;
A.01924;8/10/2020;Ενημέρωση;;;1;
A.00926;8/10/2020;Ενημέρωση;;;1;
A.06072;8/10/2020;Ενημέρωση;;;1;
A.06818;8/10/2020;Παραγγελία;;;1;
A.04506;8/10/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΣΟΝ ΠΩΛΗΤΗ;1;
A.01173;8/10/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;1;
A.06279;8/10/2020;Ενημέρωση;;;1;
A.00594;8/10/2020;Ενημέρωση;;;1;
A.03803;8/10/2020;Ενημέρωση;;;1;
C.01301;9/10/2020;Παραγγελία;;;1;
C.01866;9/10/2020;Ενημέρωση;;Δεν θα χρειαστεί κάτι.;1;
C.00788;9/10/2020;Ενημέρωση;;Δεν θα χρειαστεί κάτι.;1;
C.01641;9/10/2020;Ενημέρωση;;Δεν θα χρειαστεί κάτι.;1;
C.01162;9/10/2020;Ενημέρωση;;Δεν θα χρειαστεί κάτι.;1;
C.00775;9/10/2020;Ενημέρωση;;Δεν θα χρειαστεί κάτι.;1;
C.01718;9/10/2020;Ενημέρωση;;ΕΛΛΕΙΠΕ Ο ΥΠΕΥΘΥΝΟΣ.;0;
A.04465;9/10/2020;Παραγγελία;;οκ παραγγελια;1;
C.00515;12/10/2020;Παραγγελία;;;1;
C.01591;12/10/2020;Αλλο;;ΕΚΛΕΙΣΕ..;1;
C.01718;12/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ..;1;
C.02494;12/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΣΥΤΗ ΤΗΝ ΕΒΔΟΜΑΔΑ ΚΑΤΙ. ΝΑ ΞΑΝΑΠΑΡΩ ΟΜΩΣ ΤΗΝ ΕΠΟΜΕΝΗ.;1;
C.00032;12/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ...;1;
C.01918;12/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ...;1;
C.01744;12/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ...;1;
C.00265;12/10/2020;Ενημέρωση;;;1;
C.00265;12/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ...;1;
C.00658;12/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ... ΓΝΩΡΙΖΟΥΝ ΤΑ ΠΡΟΙΟΝΤΑ ΜΑς  ΚΑΙ ΑΝ ΧΡΕΙΑΣΤΟΥΝ ΚΑΤΙ ΘΑ ΜΑΣ ΚΑΛΕΣΟΥΝ ΟΙ ΙΔΙΟΙ..;1;
C.01811;12/10/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ ΑΥΤΗ ΤΗ ΧΡΟΝΙΚΗ ΠΕΡΙΟΔΟ...;1;
C.01910;12/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΣΤΕΙ ΚΑΤΙ...;1;
C.00046;12/10/2020;Ενημέρωση;;ΕΧΕΙ ΣΤΑΜΑΤΗΣΕΙ ΤΗΝ ΖΑΧΑΡΟΠΛΑΣΤΙΚΗ ΚΑΙ ΑΣΧΟΛΕΙΤΕ ΜΟΝΟ ΜΕΝ ΑΡΤΟΠΟΙΙΑ . ΕΝΔΙΑ ΦΕΡΕΤΑΙ ΚΑΙ ΘΕΛΕΙ ΕΠΙΔΕΙΞΗ ΣΤΟ ΧΩΡΟ ΤΟΥ. ;1;
C.02205;12/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ.;1;
C.00103;13/10/2020;Ενημέρωση;;ΜΙΛΗΣΑ ΜΕ ΤΗΝ Κ. ΜΑΡΙΑ (ΥΠΑΛΛΗΛΟΣ) ΤΟΥΣ ΕΝΔΙΑΦΕΡΕΙ ΝΑ ΠΕΡΑΣΟΥΜΕ ΓΙΑ ΕΝΗΜΕΡΩΣΗ.;1;
C.00146;13/10/2020;Ενημέρωση;;ΕΛΛΕΙΠΕ Ο ΥΠΕΥΘΥΝΟΣ. ΝΑ ΚΑΛΕΣΩ ΕΩΣ ΤΙς 10.00;0;
C.02302;14/10/2020;Παραγγελία;;;1;
A.01478;14/10/2020;Παραγγελία;;;1;
C.01374;14/10/2020;Ενημέρωση;Ελλειπε ο υπεύθυνος;Μίλησα με την υπάλληλο. ο ίδιος ο κ. Δούγκαρης είναι μέχρι τις 8.30 το πρωί εκεί.;0;
C.01867;14/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ.;1;
C.01573;14/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ.ΤΑ ΚΕΙΚ ΠΟΥ ΠΡΟΣΦΕΡΟΥΝ ΤΑ ΚΑΝΟΥΝ ΟΙ ΙΔΙΟΙ. ΕΝΗΜΕΡΩΣΑ ΟΤΙ ΕΧΟΥΜΕ ΚΑΙ ΕΠΙΚΑΛΥΨΕΙΣ ,ΚΡΕΜΕΣ ΚΑΙ ΣΟΚΟΛΑΤΕΣ. ΘΕΛΟΥΝ ΠΡΟΣΠΕΚΤ....;1;
C.01573;14/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ.ΤΑ ΚΕΙΚ ΠΟΥ ΠΡΟΣΦΕΡΟΥΝ ΤΑ ΚΑΝΟΥΝ ΟΙ ΙΔΙΟΙ. ΕΝΗΜΕΡΩΣΑ ΟΤΙ ΕΧΟΥΜΕ ΚΑΙ ΕΠΙΚΑΛΥΨΕΙΣ ,ΚΡΕΜΕΣ ΚΑΙ ΣΟΚΟΛΑΤΕΣ. ΘΕΛΟΥΝ ΠΡΟΣΠΕΚΤ....ΓΙΑ ΝΑ ΤΟ ΔΩΣΟΥΝ ΣΤΗΝ ΥΠΕΥΘΥΝΗ ,Η ΟΠΟΙΑ ΠΗΓΑΙΝΕΙ ΜΟΝΟ ΤΑ ΑΠΟΓΕΥΜΑΤΑ.;1;
C.01818;14/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ.;1;
C.00775;14/10/2020;Παραγγελία;;;1;
C.01840;15/10/2020;Παραγγελία;;;1;
C.01866;15/10/2020;Παραγγελία;;;1;
A.00468;15/10/2020;Ενημέρωση;;;1;
C.01943;15/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ.;1;
C.01790;15/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ.;1;
C.02044;15/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ.;1;
C.00070;15/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ. ΓΝΩΡΙΖΕΙ ΤΑ ΠΡΟΙΟΝΤΑ ΜΑΣ ΑΠΟ ΠΑΛΙΑ. ΔΕΝ ΧΡΗΣΙΜΟΠΟΙΕΙ ΜΙΓΜΑΤΑ ΟΜΩΣ ,ΤΑ ΚΑΝΕΙ ΟΛΑ ΜΟΝΟΣ. ΕΝΗΜΕΡΩΣΑ ΟΤΙ ΕΧΟΥΜΕ ΚΑΙ ΕΜΠΟΡΙΑΣ ,ΟΠΩΣ ΑΛΑΤΙ,ΖΑΧΑΡΗ ,ΗΛΙΕΛΑΙΟ. ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ ΑΥΤΗ ΤΗ ΣΤΙΓΜΗ. ΑΝ ΧΡΕΙΣΤΕΙ ΘΑ ΚΑΛΕΣΕΙ Ο ΙΔΙΟΣ.;1;
A.00676;16/10/2020;Παραγγελία;;οκ παραγγελια;1;
C.00528;16/10/2020;Παραγγελία;;;1;
C.01596;16/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ;1;
C.00083;16/10/2020;Αλλο;;ΔΕΝ ΙΣΧΥΕΙ ΤΟ ΤΗΛΕΦΩΝΟ ΑΥΤΟ;1;
C.01162;16/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ;1;
C.01641;16/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ;1;
C.01934;16/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ;1;
C.01301;16/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ;1;
C.02324;16/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ;1;
C.00989;16/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ. ΕΝΗΜΕΡΩΣΑ ΚΑΙ ΓΙΑ ΕΜΠΟΡΙΑΣ ΚΑΙ ΓΙΑ ΤΙς ΠΡΟΣΦΟΡΕΣ ΠΟΥ ΤΡΕΧΟΥΝΕ. ΘΑ ΤΟ ΣΚΕΦΤΟΥΝΕ ΚΑΙ ΘΑ ΑΠΑΝΤΗΣΟΥΝΕ;1;
A.05761;16/10/2020;Ενημέρωση;;παραγγελια στον πωλητη;1;
A.00969;16/10/2020;Ενημέρωση;;;1;
A.00558;16/10/2020;Ενημέρωση;;;1;
A.01247;16/10/2020;Ενημέρωση;;;1;
A.00596;16/10/2020;Ενημέρωση;;;1;
A.00566;16/10/2020;Ενημέρωση;;;1;
A.00602;16/10/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΣΤΝ ΠΩΛΗΤΗ;1;
A.03939;16/10/2020;Ενημέρωση;;;1;
A.06882;16/10/2020;Ενημέρωση;;;1;
A.06185;16/10/2020;Ενημέρωση;;;1;
A.04064;16/10/2020;Ενημέρωση;Αντιπρόσωπος μόνο;;1;
A.06518;16/10/2020;Ενημέρωση;;;1;
A.06636;16/10/2020;Ενημέρωση;;;1;
A.04801;16/10/2020;Ενημέρωση;;;1;
A.00568;16/10/2020;Ενημέρωση;;;1;
C.00989;19/10/2020;Παραγγελία;;;1;
C.01589;19/10/2020;Ενημέρωση;;ΜΙΛΗΣΑ ΜΕ ΤΟ ΑΦΕΝΤΙΚΟ ΤΟΝ Κ. ΝΙΚΟ. ΣΤΑΜΑΤΗΣΕ ΝΑ ΠΑΙΡΝΕΙ ΑΠΟ ΕΜΑΣ ΓΙΑΤΙ ΔΕΝ ΠΕΡΝΟΥΣΕ Ο ΠΩΛΗΤΗΣ ΚΑΙ ΒΡΗΚΕ ΑΠΟ ΑΛΛΟΥ ΜΕ ΚΑΛΥΤΕΡΗ ΤΙΜΗ. ΕΝΔΙΑΦΕΡΕΤΑΙ ΟΜΩΣ ΝΑ ΞΕΚΙΝΗΣΕΙ ΚΑΙ ΠΑΛΙ ΣΥΝΕΡΓΑΣΙΑ ΜΑΖΙ ΜΑς . ΘΕΛΕΙ ΤΙΜΗ ΣΤΗ 10ΑΔΑ CHOCO MIT 6 KG. ΘΑ ΗΘΕΛΕ ΝΑ ΠΕΡΑΣΕΙ ΚΑΠΟΙΟΣ ΓΙΑ ΕΠΙΠΛΕΟΝ ΕΝΗΜΕΡΩΣΗ.;1;
C.01145;19/10/2020;Ενημέρωση;;ΕΛΛΕΙΠΕ Ο ΥΠΕΥΘΥΝΟΣ. ΘΑ ΜΕ ΚΑΛΕΣΟΥΝΕ ΕΑΝ ΧΡΕΙΑΣΤΟΥΝ ΚΑΤΙ.;0;
C.01202;19/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ;1;
C.01986;19/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ.;1;
C.02494;19/10/2020;Ενημέρωση;;ΕΛΛΕΙΠΕ Ο ΥΠΕΥΘΥΝΟΣ. ΝΑ ΞΑΝΑΚΑΛΕΣΩ ΑΥΡΙΟ.;0;
C.00146;19/10/2020;Ενημέρωση;Ελλειπε ο υπεύθυνος;ΕΛΛΕΙΠΕ Ο ΥΠΕΥΘΥΝΟΣ;0;
C.00032;19/10/2020;Παραγγελία;;;1;
C.01573;19/10/2020;Παραγγελία;;;;
C.00528;19/10/2020;Παραγγελία;;;;
C.01075;20/10/2020;Παραγγελία;;;;
C.02028;20/10/2020;Παραγγελία;;;;
C.01867;20/10/2020;Ενημέρωση;;ΘΑ ΠΑΡΕΙ ΤΟΝ ΠΩΛΗΤΗ ΕΑΝ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ.;;
C.01818;20/10/2020;Παραγγελία;;;;
C.01895;20/10/2020;Παραγγελία;;;;
C.02494;20/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ.;;
C.01840;21/10/2020;Παραγγελία;;;;
C.01790;22/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ.;;
C.01629;22/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ.;;
C.00788;22/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ;;
C.01910;22/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ;;
C.02205;22/10/2020;Ενημέρωση;;ΕΛΛΕΙΠΕ Ο ΥΠΕΥΘΥΝΟΣ;;
C.01866;22/10/2020;Παραγγελία;;;;
C.01756;22/10/2020;Ενημέρωση;;ΜΙΛΗΣΑ ΜΕ ΤΟΝ ΥΠΕΘΥΝΟ. ΘΑ ΤΟ ΣΥΖΗΤΗΣΕΙ ΜΕ ΤΟ ΑΦΕΝΤΙΚΟ ΚΑΙ ΘΑ ΞΑΝΑΚΑΛΕΣΩ ΤΗΝ ΕΠΟΜΕΝΗ ΠΕΜΠΤΗ.;;
C.01756;22/10/2020;Ενημέρωση;;ΜΙΛΗΣΑ ΜΕ ΤΟΝ ΥΠΕΥΘΥΝΟ ΚΑΙ ΕΝΔΙΑΦΕΡΕΤΑΙ ΓΙΑ ΣΥΝΕΡΓΑΣΙΑ. ΘΑ ΤΟ ΣΥΖΗΤΗΣΕΙ ΜΕ ΤΟ ΑΦΕΝΤΙΚΟ ΤΟΥ ΚΑΙ ΘΑ ΞΑΝΑΠΑΡΩ ΤΗΛ.ΤΗΝ ΕΠΟΜΕΝΗ ΠΕΜΠΤΗ.;;
C.01840;22/10/2020;Παραγγελία;;;;
C.02044;22/10/2020;Παραγγελία;;;;
A.04521;22/10/2020;Παραγγελία;;;;
A.00773;22/10/2020;Παραγγελία;;;;
A.07555;22/10/2020;Παραγγελία;;;;
C.01943;23/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ;;
A.01447;23/10/2020;Παραγγελία;;;;
C.01744;23/10/2020;Ενημέρωση;;ΔΕΝ ΘΑ ΧΡΕΙΑΣΤΕΙ ΚΑΤΙ.;;
A.01166;23/10/2020;Ενημέρωση;;;;
C.00032;23/10/2020;Παραγγελία;;;;
A.01092;23/10/2020;Παραγγελία;;οκ παραγγελια;;
A.01193;26/10/2020;Παραγγελία;;;;
A.06570;26/10/2020;Παραγγελία;;;;
A.01051;27/10/2020;Παραγγελία;;;;
C.00399;27/10/2020;Παραγγελία;;;;
C.01840;27/10/2020;Παραγγελία;;;;
C.01301;30/10/2020;Παραγγελία;;;;
C.01818;30/10/2020;Παραγγελία;;;;
C.01934;30/10/2020;Παραγγελία;;;;
A.01035;2/11/2020;Ενημέρωση;;ΕΝΗΜΕΡΩΘΗΚΕ ΓΙΑ ΤΗΝ ΕΛΛΕΙΨΗ DELICECOVER SOKOLATA;;
A.05761;11/11/2020;Ενημέρωση;;;;
A.00969;11/11/2020;Ενημέρωση;;;;
A.00558;11/11/2020;Ενημέρωση;;;;
A.01247;11/11/2020;Ενημέρωση;;;;
A.00596;11/11/2020;Ενημέρωση;;;;
A.00566;11/11/2020;Ενημέρωση;;;;
A.00602;11/11/2020;Ενημέρωση;;;;
A.07559;11/11/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ;;
A.03397;11/11/2020;Ενημέρωση;;;;
A.06882;11/11/2020;Ενημέρωση;;;;
A.07074;13/11/2020;Ενημέρωση;;;;
A.04023;13/11/2020;Ενημέρωση;;παραγγελια την αλλη εβδομαδα;;
A.04809;13/11/2020;Ενημέρωση;;;;
A.06446;13/11/2020;Ενημέρωση;;;;
A.01564;13/11/2020;Ενημέρωση;;;;
A.04797;13/11/2020;Ενημέρωση;;;;
A.01653;13/11/2020;Ενημέρωση;;παραγγελια αργοτερα;;
A.06566;13/11/2020;Ενημέρωση;;;;
A.01478;13/11/2020;Ενημέρωση;;παραγγελια στον πωλητη ;;
A.01378;13/11/2020;Ενημέρωση;;;;
A.06275;13/11/2020;Ενημέρωση;;;;
A.01347;13/11/2020;Ενημέρωση;;;;
A.05468;13/11/2020;Ενημέρωση;;;;
A.01502;13/11/2020;Ενημέρωση;;;;
A.00468;16/11/2020;Παραγγελία;;;;
A.01478;17/11/2020;Ενημέρωση;;;;
A.00359;18/11/2020;Ενημέρωση;;;;
A.00441;19/11/2020;Ενημέρωση;;;;
A.00468;19/11/2020;Ενημέρωση;;;;
A.00508;19/11/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;;
A.00534;19/11/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;;
A.00541;19/11/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;;
A.00683;19/11/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;;
A.00745;19/11/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;;
A.00760;19/11/2020;Ενημέρωση;;ΘΑ ΔΩΣΕΙ Ο ΙΔΙΟΣ ΑΝ ΧΡΕΙΑΣΤΕΙ;;
A.00469;19/11/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ;;
A.00599;19/11/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;;
A.00761;19/11/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;;
A.00764;19/11/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;;
A.01519;19/11/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ;;
A.03477;19/11/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ ;;
A.00809;19/11/2020;Παραγγελία;;;;
A.04142;19/11/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ ;;
A.04143;19/11/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ;;
A.04156;19/11/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΔΕΥΤΕΡΑ;;
A.04233;19/11/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;;
A.04296;19/11/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΤΗΝ ΑΛΛΗ ΕΒΔΟΜΑΔΑ;;
A.06251;19/11/2020;Ενημέρωση;;ΠΑΡΑΓΓΕΛΙΑ ΑΡΓΟΤΕΡΑ;;
A.06522;19/11/2020;Ενημέρωση;;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ;;
A.06569;19/11/2020;Ενημέρωση;;δεν ενδιαφερεται;;
A.06678;19/11/2020;Ενημέρωση;;παραγγελια αργοτερα;;
