cardcode;calldate;Result;ShortComment;LongComment;Found;Interest
A.01393;18/9/2019;Αλλο;Λαθασμένα στοιχεία επικοινωνίας;ΛΑΘΟΣ ΤΗΛ ΣΤΟΙΧΕΙΑ.;0;
A.01861;18/9/2019;Αλλο;Δίνει ο ίδιος παραγγελία;ΑΛΛΑΓΗ ΕΠΩΝΥΜΙΑΣ -ΖΕΚΗΣ ΧΡΗΣΤΟΣ. ΔΙΝΕΙ ΠΑΡΑΓΓΕΛΙΑ ΣΤΗΝ ΕΤΑΙΡΕΙΑ Ο ΙΔΙΟΣ.;1;-1
A.06570;18/9/2019;Ενημέρωση;Επανάκληση;ΕΧΕΙ ΔΩΣΕΙ ΠΑΡΑΓΓΕΛΙΑ ΣΤΗΝ ΕΤΑΙΡΕΙΑ, ΘΕΛΕΙ ΤΗΛ ΚΑΘΕ 15 ΗΜ,;1;0
A.01251;18/9/2019;Ενημέρωση;Δίνει ο ίδιος παραγγελία;ΠΑΙΡΝΕΙ Ο ΙΔΙΟΣ ΤΗΛ ΓΙΑ ΠΑΡΑΓΓΕΛΙΑ ΑΛΛΑ ΘΕΛΕΙ ΤΗΝ ΥΠΕΝΘΥΜΙΣΗΣ ΚΑΘΕ ΕΒΔΟΜΑΔΑ,;1;0
A.01255;18/9/2019;Ενημέρωση;Δίνει ο ίδιος παραγγελία;ΘΑ ΔΩΣΕΙ Ο ΙΔΙΟΣ ΑΡΓΟΤΕΡΑ ΠΑΡΑΓΓΕΛΙΑ ,;1;0
A.05747;18/9/2019;Ενημέρωση;Ανταγωνισμός;ΠΡΟΣ ΤΟ ΠΑΡΟΝ ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ ΓΙΑ ΤΑ ΠΡΟΙΟΝΤΑ ΜΑΣ,;1;-1
A.03841;18/9/2019;Ενημέρωση;Αντιπρόσωπος μόνο;ΨΩΝΙΖΕΙ ΑΠΟ ΠΥΡΡΟ ΚΑΙ ΕΙΝΑΙ ΕΝΗΜΕΡΩΜΕΝΟΣ ΓΙΑ ΤΑ ΠΡΟΙΟΝΤΑ ΜΑΣ,;1;-1
A.05444;18/9/2019;Ενημέρωση;Δίνει ο ίδιος παραγγελία;ΠΑΙΡΝΕΙ ΜΟΝΟ ΣΥΓΚΕΚΡΙΜΕΝΑ ΠΡΟΙΟΝΤΑ ΑΠΟ ΤΗΝ ΕΤΑΙΡΕΙΑ(nORDIX)ΚΑΙ ΔΙΝΕΙ Ο ΙΔΙΟΣ ΠΑΡΑΓΓΕΛΙΑ ΟΤΑΝ ΧΡΕΙΑΖΕΤΑΙ,;1;-1
A.04079;19/9/2019;Ενημέρωση;Κατάλογος προϊόντων;ΠΡΟΜΗΘΕΥΕΤΑΙ ΤΑ ΠΡΟΙΟΝΤΑ ΜΑΣ ΑΠΟ ΚΑΠΕΛΟ ΚΩΝ/ΝΟ ΘΑ ΗΘΕΛΕ ΚΑΤΑΛΟΓΟ ΓΙΑ ΝΑ ΕΝΗΜΕΡΩΘΕΙ ΓΙΑ ΝΕΑ ΠΡΟΙΟΝΤΑ,;1;0
A.00613;19/9/2019;Ενημέρωση;Άλλο;ΔΕΝ ΕΝΔΙΑΦΕΡΕΤΑΙ ΠΡΟΣ ΤΟ ΠΑΡΟΝ ΓΙΑ ΤΑ ΠΡΟΙΟΝΤΑ ΜΑΣ,;1;-1
A.00568;19/9/2019;Ενημέρωση;Δίνει ο ίδιος παραγγελία;ΘΑ ΔΩΣΕΙ Ο ΙΔΙΟΣ ΠΑΡΑΓΓΕΛΙΑ ΟΤΑΝ ΧΡΕΙΑΣΤΕΙ.;1;-1
A.00546;19/9/2019;Ενημέρωση;Λαθασμένα στοιχεία επικοινωνίας;ΛΑΘΟΣ ΤΗΛ.;0;
A.04083;19/9/2019;Ενημέρωση;Αντιπρόσωπος μόνο;ΓΝΩΡΙΖΕΙ ΤΑ ΠΡΟΙΟΝΤΑ ΜΑΣ ΑΛΛΑ ΠΑΙΡΝΕΙ ΛΙΓΑ ΠΡΑΓΜΑΤΑ ΑΠΟ ΕΜΠΟΡΟ.;1;-1
A.00588;19/9/2019;Ενημέρωση;Αντιπρόσωπος μόνο;ΠΑΙΡΝΕΙ ΤΑ ΠΡΟΙΟΝΤΑ ΜΑΣ ΜΟΝΟ ΑΠΟ ΕΜΠΟΡΟ ;1;-1
A.00617;19/9/2019;Ενημέρωση;Δίνει ο ίδιος παραγγελία;ΔΙΝΕΙ Ο ΙΔΙΟΣ ΟΤΑΝ ΧΡΕΙΑΖΕΤΑΙ,;1;-1
A.04160;19/9/2019;Ενημέρωση;Αντιπρόσωπος μόνο;ΨΩΝΙΖΕΙ -ΜΟΝΟ- ΑΠΟ ΒΟΥΔΡΗ ΚΑΙ ΕΙΝΑΙ ΕΝΗΜΕΡΩΜΕΝΟΣ ΓΙΑ ΤΑ ΠΡΟΙΟΝΤΑ ΜΑΣ.;1;-1
